epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1935.1,0.65162,0.9916,0.39391,0.89997,0,0.98724,0.98196,0.99306,0.79611,0.98724,0.98196,0.99109,0.74776,0.68723,1.06578,0.37226,0.93685,0,0.000839694,0.000839694,0.000839694
39,1961.32,0.66546,0.97582,0.39598,0.90299,0,0.98104,0.97892,0.99026,0.80074,0.98104,0.97892,0.99014,0.75294,0.68798,1.05198,0.3742,0.93798,0,0.000832361,0.000832361,0.000832361
40,1997.71,0.65415,0.97872,0.38295,0.89826,0,0.98809,0.97818,0.9925,0.80995,0.9866,0.97671,0.9903,0.74858,0.68358,1.08062,0.37446,0.93486,0,0.000825029,0.000825029,0.000825029
41,2049.47,0.6532,0.97744,0.39104,0.89954,0,0.97627,0.9905,0.9933,0.79948,0.98987,0.97575,0.9913,0.75011,0.70193,1.04351,0.3865,0.94004,0,0.000817696,0.000817696,0.000817696
42,2129.15,0.64565,0.96091,0.38601,0.89694,0,0.98413,0.98492,0.99349,0.80537,0.98514,0.97931,0.9915,0.74628,0.68731,1.08269,0.36334,0.9383,0,0.000810363,0.000810363,0.000810363
43,2156.92,0.64218,0.97437,0.37628,0.89453,0,0.98269,0.98271,0.99189,0.80458,0.98269,0.98271,0.99182,0.75649,0.6802,1.0603,0.36298,0.93522,0,0.000803031,0.000803031,0.000803031
44,2182.46,0.62886,0.95714,0.36687,0.89012,0,0.98571,0.9793,0.9921,0.80299,0.98563,0.97785,0.99194,0.75913,0.68897,1.05249,0.35746,0.93777,0,0.000795698,0.000795698,0.000795698
45,2479.96,0.6263,0.94963,0.37212,0.89586,0,0.98184,0.98414,0.99174,0.80162,0.98115,0.98346,0.99173,0.75132,0.67988,1.07109,0.35905,0.93689,0,0.000788366,0.000788366,0.000788366
46,2577.15,0.64209,0.9483,0.37131,0.89221,0,0.98227,0.987,0.99446,0.7976,0.99309,0.97575,0.9923,0.74112,0.69451,1.08116,0.36856,0.9462,0,0.000781033,0.000781033,0.000781033
47,2612.99,0.64558,0.96973,0.37747,0.89416,0,0.99047,0.98834,0.99246,0.80606,0.98938,0.98813,0.99247,0.75676,0.67687,1.09608,0.35437,0.93355,0,0.0007737,0.0007737,0.0007737
48,2638.62,0.62858,0.94513,0.37003,0.88774,0,0.9914,0.98843,0.99021,0.79994,0.99158,0.98762,0.99021,0.75405,0.68707,1.06557,0.35498,0.94171,0,0.000766368,0.000766368,0.000766368
49,2671.33,0.6155,0.93034,0.35404,0.88719,0,0.98864,0.98537,0.99126,0.80475,0.98859,0.98504,0.99131,0.75315,0.67497,1.07931,0.35217,0.93971,0,0.000759035,0.000759035,0.000759035
50,2697.15,0.61179,0.93252,0.35685,0.88707,0,0.99366,0.98427,0.99362,0.80945,0.99501,0.98186,0.99162,0.75819,0.67402,1.0627,0.33979,0.93447,0,0.000751703,0.000751703,0.000751703
51,2766.49,0.5961,0.91912,0.35178,0.87426,0,0.98644,0.97741,0.99099,0.81004,0.98655,0.97735,0.99098,0.7591,0.67158,1.07052,0.35297,0.92668,0,0.00074437,0.00074437,0.00074437
52,2796.57,0.60398,0.93128,0.35688,0.87799,0,0.97748,0.98656,0.99013,0.80562,0.97826,0.98735,0.99212,0.7569,0.67813,1.06452,0.34386,0.9346,0,0.000737037,0.000737037,0.000737037
53,2822.72,0.59741,0.91702,0.35219,0.87606,0,0.98093,0.98156,0.99105,0.80571,0.98093,0.98156,0.99059,0.76109,0.67673,1.09516,0.35122,0.93068,0,0.000729705,0.000729705,0.000729705
54,2855.72,0.61216,0.93053,0.35673,0.88114,0,0.98425,0.98709,0.99441,0.80798,0.98278,0.98562,0.99232,0.75906,0.67535,1.0516,0.3448,0.93466,0,0.000722372,0.000722372,0.000722372
55,2889.49,0.61816,0.93057,0.35842,0.88529,0,0.994,0.98299,0.99266,0.80744,0.994,0.98299,0.99259,0.76194,0.67549,1.05145,0.34292,0.9327,0,0.00071504,0.00071504,0.00071504
56,2939.36,0.59976,0.91472,0.35103,0.88432,0,0.98617,0.98278,0.99232,0.80864,0.98617,0.98278,0.99232,0.75984,0.67728,1.049,0.33762,0.93275,0,0.000707707,0.000707707,0.000707707
57,2972.99,0.60278,0.90485,0.35107,0.88014,0,0.98795,0.98268,0.99455,0.80989,0.98934,0.98253,0.99245,0.75904,0.67118,1.04313,0.34749,0.93101,0,0.000700374,0.000700374,0.000700374
58,3000.02,0.58955,0.90523,0.34735,0.87311,0,0.98659,0.98298,0.99206,0.80428,0.98591,0.9823,0.99196,0.75245,0.67823,1.06188,0.34583,0.93449,0,0.000693042,0.000693042,0.000693042
59,3036.14,0.60237,0.91637,0.35006,0.87596,0,0.98415,0.9777,0.98943,0.80728,0.98415,0.9777,0.98943,0.75376,0.66888,1.07411,0.3478,0.92354,0,0.000685709,0.000685709,0.000685709
60,3169.17,0.58914,0.89985,0.33901,0.8728,0,0.98892,0.98199,0.99157,0.80854,0.98822,0.98131,0.99156,0.75752,0.67066,1.07101,0.33999,0.93328,0,0.000678377,0.000678377,0.000678377
61,3194.72,0.59419,0.93153,0.34307,0.87501,0,0.99077,0.97528,0.99197,0.79867,0.9908,0.97527,0.98846,0.75352,0.70787,1.11517,0.35605,0.94477,0,0.000671044,0.000671044,0.000671044
62,3232.32,0.60543,0.94034,0.34731,0.87301,0,0.98299,0.97652,0.99079,0.80504,0.9815,0.97504,0.98718,0.75715,0.68149,1.07376,0.355,0.93912,0,0.000663711,0.000663711,0.000663711
63,3260.91,0.60985,0.90953,0.35025,0.87739,0,0.98335,0.98496,0.98884,0.8091,0.98356,0.9846,0.99061,0.75514,0.66967,1.07178,0.34563,0.93073,0,0.000656379,0.000656379,0.000656379
64,3288.35,0.57902,0.89606,0.33403,0.87038,0,0.98726,0.97619,0.98934,0.81459,0.98726,0.97619,0.98934,0.76286,0.6673,1.0805,0.34263,0.92736,0,0.000649046,0.000649046,0.000649046
65,3314.81,0.59261,0.89064,0.34351,0.87396,0,0.98453,0.97754,0.99113,0.81066,0.98453,0.97754,0.99114,0.75699,0.66807,1.0621,0.34599,0.93093,0,0.000641714,0.000641714,0.000641714
66,3382.02,0.57596,0.89507,0.33756,0.86687,0,0.97966,0.97841,0.99076,0.80847,0.97966,0.97841,0.99054,0.76042,0.6762,1.05544,0.34884,0.93492,0,0.000634381,0.000634381,0.000634381
67,3418.23,0.577,0.89558,0.3333,0.86509,0,0.98807,0.97749,0.99001,0.80389,0.98738,0.97681,0.99023,0.75198,0.67807,1.0827,0.34091,0.94196,0,0.000627048,0.000627048,0.000627048
68,3449.95,0.56954,0.8931,0.32649,0.86381,0,0.99063,0.98591,0.99134,0.80402,0.98914,0.98443,0.99024,0.74901,0.67222,1.07502,0.33945,0.94512,0,0.000619716,0.000619716,0.000619716
69,3479.89,0.58461,0.88683,0.33155,0.86591,0,0.98491,0.98622,0.98993,0.80122,0.9827,0.9841,0.98706,0.75462,0.68277,1.07068,0.33969,0.94639,0,0.000612383,0.000612383,0.000612383
70,3641.88,0.56104,0.85338,0.32559,0.86011,0,0.98762,0.98336,0.99422,0.81082,0.98762,0.98336,0.99223,0.7596,0.67622,1.06123,0.33127,0.94442,0,0.000605051,0.000605051,0.000605051
71,3667.48,0.56287,0.86311,0.32279,0.86146,0,0.98195,0.98646,0.99397,0.81072,0.98195,0.98646,0.99184,0.75287,0.67203,1.07273,0.33811,0.93715,0,0.000597718,0.000597718,0.000597718
72,3719.69,0.55004,0.84833,0.31559,0.85845,0,0.98807,0.98849,0.99429,0.81069,0.9873,0.98736,0.99206,0.75931,0.66258,1.05734,0.32387,0.93074,0,0.000590385,0.000590385,0.000590385
73,3752.87,0.57061,0.87768,0.32793,0.86726,0,0.99305,0.97929,0.992,0.81076,0.99305,0.97929,0.99214,0.75937,0.67029,1.08728,0.33497,0.93513,0,0.000583053,0.000583053,0.000583053
